item_name,type,color_name,reds,green,blue,hue,strap_reds,strap_green,strap_blue,strap_hue,dial_reds,dial_green,dial_blue,dial_hue,formality,vibe
"Oxford White Shirt","shirt","white",245,245,245,0,,,,,,,,,9,"[clean minimal]"
"Sky Blue Shirt","shirt","light blue",135,206,235,197,,,,,,,,,7,"[fresh airy]"
"Charcoal Shirt","shirt","charcoal",54,69,79,210,,,,,,,,,9,"[serious sleek]"
"Olive Shirt","shirt","olive green",107,142,35,82,,,,,,,,,3,"[earthy relaxed]"
"Black Shirt","shirt","black",20,20,20,0,,,,,,,,,9,"[sharp bold]"
"Navy Polo","polo","navy blue",25,25,112,240,,,,,,,,,6,"[classic refined]"
"Red Polo","polo","crimson red",220,20,60,348,,,,,,,,,3,"[bold energetic]"
"Mint Polo","polo","mint green",152,255,152,140,,,,,,,,,3,"[fresh soft]"
"Grey Polo","polo","grey",169,169,169,0,,,,,,,,,6,"[minimal neutral]"
"Mustard Polo","polo","mustard yellow",255,183,94,45,,,,,,,,,3,"[warm earthy]"
"Basic White Tee","tshirt","white",255,255,255,0,,,,,,,,,2,"[clean minimal]"
"Black Graphic Tee","tshirt","black",15,15,15,0,,,,,,,,,2,"[edgy bold]"
"Blue Tee","tshirt","royal blue",65,105,225,225,,,,,,,,,2,"[vibrant cool]"
"Beige Tee","tshirt","beige",245,245,220,60,,,,,,,,,2,"[soft earthy]"
"Maroon Tee","tshirt","maroon",128,0,0,0,,,,,,,,,3,"[rich deep]"
"Black Jeans","pants","black",25,25,25,0,,,,,,,,,3,"[edgy urban]"
"Blue Jeans","pants","denim blue",40,70,135,215,,,,,,,,,3,"[classic rugged]"
"Khaki Chinos","pants","khaki",195,176,145,34,,,,,,,,,6,"[relaxed earthy]"
"Grey Trousers","pants","grey",128,128,128,0,,,,,,,,,9,"[professional clean]"
"Olive Cargo","pants","olive",85,107,47,82,,,,,,,,,3,"[utility rugged]"
"Navy Trousers","pants","navy",0,0,128,240,,,,,,,,,9,"[sharp classic]"
"White Linen Pants","pants","white",250,250,240,60,,,,,,,,,4,"[breezy soft]"
"Brown Corduroy","pants","brown",139,69,19,25,,,,,,,,,4,"[vintage rich]"
"Classic Silver Watch","watch","silver",192,192,192,0,160,160,160,0,255,255,255,0,9,"[luxury clean]"
"Black Leather Watch","watch","black",30,30,30,0,60,30,10,20,240,240,240,0,9,"[elegant rich]"
"Blue Dial Watch","watch","blue",70,130,180,207,80,80,80,0,0,102,204,210,6,"[modern cool]"
"Gold Watch","watch","gold",212,175,55,46,180,140,0,40,255,215,0,50,10,"[luxury rich]"
"Sport Watch","watch","red",220,20,60,350,0,0,0,0,50,50,50,0,3,"[sporty bold]"